filters,Top 50000000 fingerprint.raw,Unique count of fingerprint.raw
session.first:true,1.109b40e644521aac7f1d20e0c0ef56cb,1
session.first:true,1.426fa925df6c4c3357883386938f49ca,1
session.first:true,1.e0495094fb93e30c090457ddba195a2d,1
session.first:true,1.d2ceb31c2349b03fa331dc140eb0658f,1
session.first:true,1.ecf98049a4087119ea09435a1a29cda4,1
session.first:true,1.41d0d00575e1b30e12dcde6c343fcbd0,1
session.first:true,1.a08c8430d9c8cf3d4182709e4c1d8dba,1
session.first:true,1.76bb9ca79b45ecf0a27efdb45a419f60,1
session.first:true,1.dd15834be508b538c02ca585dd680cdb,1
session.first:true,1.9d9d6763f00e30c1775bd72ba6ef6189,1
session.first:true,1.b36c097214f6436fbb998f2e34bc0c6a,1
session.first:true,1.7c660c2674d7f213033c9babdf282dc9,1
session.first:true,1.7fa4a5f437d806cd7cb379bcbacae2ab,1
session.first:true,1.6082909b85b66ef9ce44c4f6037437dc,1
session.first:true,1.213085869f6792fd93415c9fe4a52add,1
session.first:true,1.c36cdf475680d09aed8fae25f1ac010a,1
session.first:true,1.d22d91ad29b3be566be7c14fcb4824e2,1
session.first:true,1.b154d9f7243a0298ad40a177345a48d5,1
session.first:true,1.546091775d0dc4f2bd9d47f9ef9f3e1a,1
session.first:true,1.ba69c8aaaf81750d0c56c89281bd1207,1
session.first:true,1.6180389c613e1f28949cb3a56a987435,1
session.first:true,1.2f01c59d8c77443e72a61bbc95eb62d3,1
session.first:true,1.71d77d2680cccdef7cffee44ad96ff00,1
session.first:true,1.f87312c983c0895502a2d870a38262bb,1
session.first:true,1.c1616d9918d6b55e07252adc1a4d1ee2,1
session.first:true,1.a2725403bc12e3093ac1f19571062a58,1
session.first:true,1.d06b78fd28d4f83f13c701df0bdd5fa5,1
session.first:true,1.138a31d3dd1a572f9b8218d0ba9a9151,1
session.first:true,1.157b31f7ae761f4988ac73452117affd,1
session.first:true,1.f528ffc95ea57e29fcfdf1285b8619be,1
session.first:true,1.f19b5ce6f527bc889fff0cbcb86628e3,1
session.first:true,1.9c1d6975379d512b8a199756a598f152,1
session.first:true,1.6e679c8019b292e3edbf48ba004d0ec2,1
session.first:true,1.1e19dd38f89723012ef916077e7fd3b6,1
session.first:true,1.f9bd496ab99c0c75bc7c4b30ed596fb7,1
session.first:true,1.9a527478cf1bf5e9f34cc1a22669242e,1
session.first:true,1.656b8d7f8ce6c8f03fdfac01b204bdd5,1
session.first:true,1.4770558959846863ecf445bc1c895ee9,1
session.first:true,1.323de6ff55794a762059c0ec00658467,1
session.first:true,1.e17949960003dbcda755be3d844fb064,1
session.first:true,1.801629abac64da7d8c7cfa213cd5e79e,1
session.first:true,1.d14e6c8b00c423c5b9d16159ca3044ee,1
session.first:true,1.8eb286258e331fdd39fe457c415ea57a,1
session.first:true,1.7d61a90cf3466a949dbb669d799d7f9a,1
session.first:true,1.a718a0e3d607c6e03b53ff60d97bd771,1
session.first:true,1.17d1ff42b06891c0c83f41a3e7116d4d,1
session.first:true,1.6e64621ea9a610864a4ac217ecd6a299,1
session.first:true,1.c3001854e938f8e9797a9c08d46b57be,1
session.first:true,1.8e8ec9a7d6dd807802aaca8feed9bd8b,1
session.first:true,1.896ed11e091126cd45f4a126d4e78cee,1
session.first:true,1.55bb1678e3e659937f45033fb032a9dd,1
session.first:true,1.a4e742b1138d0222ffac4be7486c551f,1
session.first:true,1.6c6b48db7f18e242a898982611b93c52,1
session.first:true,1.40b805ad3d385e931cd3b1e9cd8b2005,1
session.first:true,1.c06879d79fd4b9d7626e881d7d0fcd79,1
session.first:true,1.ec69c5afb39c1197d24c8276685ffed1,1
session.first:true,1.48a435d259a0e1322fbf584e5edb1527,1
session.first:true,1.52c184ad76c06a4046f0bd7c3f44e9e5,1
session.first:true,1.9a28c989c70dd3f39c9dffafd0ac7a91,1
session.first:true,1.fa87c1c7030d5069ea8d165ab3fc913c,1
session.first:true,1.4f0994b75d21f31f65abacafa719cfab,1
session.first:true,1.fb6257d977a91db3def1bb7730eb6cca,1
session.first:true,1.366b452dcacdc43a3854633fdbe82285,1
session.first:true,1.cc1542713e234d9d72b654bf517cbd07,1
session.first:true,1.f5eabd043d8e5505872fc8b070042311,1
session.first:true,1.f7e406c0c5815775252271c118bd97ed,1
session.first:true,1.12d956f331e7919670f1a10bee697c3f,1
session.first:true,1.96a181f1e0975d5fcbcebff2dfa62c99,1
session.first:true,1.19afe230b82520a5f38dc825477fa451,1
session.first:true,1.7754e4b047d0017af6ee054225d35269,1
session.first:true,1.69ea16c7b305413ab6afad499878ae8c,1
session.first:true,1.4d2d73d1cd47d15f34887c3b23ecee10,1
session.first:true,1.2cbf74ba2926294233d025ae03accd4d,1
session.first:true,1.8367697bce5748e38e3a036a5d59e9b7,1
session.first:true,1.97725aa739c48dff7b5ebd00a33e8438,1
session.first:true,1.fa880047094cb31da03c16df382ba344,1
session.first:true,1.ce7aaa7675654eee992e3fab69c05ae5,1
session.first:true,1.4c07bf0be6e8df7b6f1246b206869fc0,1
session.first:true,1.e9a95a32be0443d8670a9a5ac3df584b,1
session.first:true,1.bd158fc7cb521795e3eec6a0e01eb8ad,1
session.first:true,1.8181a81448a6a0ac5b1c016501a00bb0,1
session.first:true,1.372160524bf576cbf661c7303ee66224,1
session.first:true,1.673022473085327caa6550c68c5a43e7,1
session.first:true,1.39a9238880f256ea0f15fe9b1b5b76e1,1
session.first:true,1.abd1b5708c39854f4bea4d74603b6999,1
session.first:true,1.7c78bcef852145698812d0b40ad18545,1
session.first:true,1.bf4e0dd6ff59e699a57ec49e86c8f8ca,1
session.first:true,1.d0edafafbde8beadcb6573d8c6cb5653,1
session.first:true,1.b25783de3600c84545c117265b769c85,1
session.first:true,1.ca4c09b0540eff568e2ab87666f6f50a,1
session.first:true,1.aa0e470b984c0655b0fd1e4eebfa70a0,1
session.first:true,1.fad19245141aa837fa55582eced10aa2,1
session.first:true,1.22806dd1dc0ea9a462189eec122b4eab,1
session.first:true,1.99f1edfa6d1edf796482051b0c673f30,1
session.first:true,1.44dcd69ea502faee4e31b3f3f04f331e,1
session.first:true,1.a57fd43a106d32eb6e236eda123ce48c,1
session.first:true,1.c74e65a261befffa3bf45365b08b748f,1
session.first:true,1.96b98a1684db860658e0d4171bcbb17c,1
session.first:true,1.1ee7cdaf54f24fdd5d4a0bd87c34fd50,1
session.first:true,1.ec012af4247f1647a87ed4b07462f998,1
session.first:true,1.e0b39902e761decda45971280c9f2372,1
session.first:true,1.5f064baf5ef8f494a4cfa8e515df5786,1
