filters,Top 50000000 fingerprint.raw,Count
session.first:true,1.7ce1e0d6587f66aa5d36726c5986ffd9,1
session.first:true,1.3b6e227fd1019eb185a535d7b3baf696,1
session.first:true,1.05ef08f5c43faa1f0bb23ec3c711905a,1
session.first:true,1.269ae57d09c5112c82cd7f5b9b4d691c,1
session.first:true,1.1569fabfeac2c10ac117e84062bb352e,1
session.first:true,1.1eb9f102a451037d454bbde5a60f8b3f,1
session.first:true,1.3cc1fd8a5f3d94f399c26d4a94c1b50d,1
session.first:true,1.665513a8c840d31204b9fb6ff428601f,1
session.first:true,1.812f1486d8e911a80f6d25e8e444dde6,1
session.first:true,1.81669d00bb50a69e9523ba908d7b1e69,1
session.first:true,1.1e00041f10033bc260795cf759af5c89,1
session.first:true,1.2e847542a336c272fde0fa8056fed990,1
session.first:true,1.3b346d0741caed7b4ce7c7ecf7e2b752,1
session.first:true,1.73f5e388be15f30491d0c284a234a86d,1
session.first:true,1.8361fc9b29060662fc86dd063a4e29be,1
session.first:true,1.99f211ada24481bd5bddf5f7361f2606,1
session.first:true,1.0a2b98888894665825cf60d18834e14c,1
session.first:true,1.0a8ff8855a45f6138e60f49b9775b72a,1
session.first:true,1.1086ed789a051addac7cbd5347a35fe3,1
session.first:true,1.1b2dd64ff72647195526ce5731f7ecd4,1
session.first:true,1.25fc4bf57544f602295bb598283186c6,1
session.first:true,1.2c29b999511ee8587dee9af7cd388aba,1
session.first:true,1.3464ae82044c478e59001b27d4a6cc37,1
session.first:true,1.39d536367982244c98720ed7f15d867a,1
session.first:true,1.49d9f53c61125abd3cbe0234a495ac2d,1
session.first:true,1.527588723ab21fc6f5eb994e564ff74f,1
session.first:true,1.5c099f73d04c934a17a0267cb7e8fa43,1
session.first:true,1.61d9f7d9490a89cf9f90b3898c2a0a68,1
session.first:true,1.62d5d8dbaa87e68aeaa1a756a39891fe,1
session.first:true,1.6e3a6d99b15e8b7d91adc8cb8a51972f,1
session.first:true,1.84aff802735fff5987767b458e5e2ab6,1
session.first:true,1.89c1632ed5bfddc3fa3241e9ac15f041,1
session.first:true,1.988df7b84813d5fe1cd9cb187c68f08f,1
session.first:true,1.99b91f697a775b391e0d9d2c757efe1a,1
session.first:true,1.009c0550ebf60bdaf88f67cecb5e118d,1
session.first:true,1.0443ba895d2181ecc67921ad345c1702,1
session.first:true,1.05d263bc859ec09b90a339caf2bc59b2,1
session.first:true,1.07645a822bacaa5e92e71a594b8f48d4,1
session.first:true,1.15fe7939e21444b365bf7a66b32a7d98,1
session.first:true,1.1620c1ccea804b6f455ca5e945bf1ef5,1
session.first:true,1.18d2ff9d1fd9a60ca10860970a1fb80f,1
