filters,Top 50000000 fingerprint.raw,Count
session.first:true,1.0cd8ef65cccdaaf5ff1db5eb49803555,1
session.first:true,1.0c0672a296abcc3be3de3109d7bf3ea7,1
session.first:true,1.039012612ecf53121d0331a8ba325706,1
session.first:true,1.80571c3c8070163d0df4851f31f5c7d6,1
session.first:true,1.03f8ee840db782a46f0276f2b6c4dc7f,1
session.first:true,1.36e5acec5a5908d58e07792faafb2900,1
session.first:true,1.4d606c6b107a2cd57d53207f63d5d1aa,1
session.first:true,1.85a8d0ab23c65e02f942659855664ac7,1
session.first:true,1.92fdd3d41e3db6bb8db5c289073bbabc,1
session.first:true,1.254fb3705ae40a93027f0bf6f84eac98,1
session.first:true,1.47fdea03af96af86255d661aa5af0806,1
session.first:true,1.4c0d7e7eec91dee66b5ab63f3d09b91a,1
session.first:true,1.1218d3b44e0530d38801a1bbc97096b8,1
session.first:true,1.85e66b8bd3f1fccf631b978f5d902a82,1
session.first:true,1.8b6f89dc0b693f90d728a26c72f52110,1
session.first:true,1.3875c8c99534de5285a407ea97a9aa3a,1
session.first:true,1.701a04aec9d87b8e3df1be5fa699416e,1
session.first:true,1.4ec6c8c0133f9f8698b9f8d934f37230,1
session.first:true,1.590cb5961dbc7dae57e05f2340e8650d,1
session.first:true,1.6270de11988583f13cc3413e580fa265,1
session.first:true,1.8adbc1ee28e7938c5d0d930ceb92c8ca,1
session.first:true,1.3ca0c44477908e47937ae79f6eaf125b,1
session.first:true,1.477400db4634f5d487cdd36447174005,1
session.first:true,1.5bed8d13e80cfe5bc6d88e2722969d53,1
session.first:true,1.76fec386506e8e6f6b7edad65abb14d7,1
session.first:true,1.902423e06c281ad27002b9b16c5d4c6d,1
session.first:true,1.39a717f1a92dc3abfc5707636edcf659,1
session.first:true,1.5e2bb17e00f9f1e44d7d59f2c844119c,1
session.first:true,1.1df60e43ba397d462021af7bb1fdcd43,1
session.first:true,1.1ffbd4fdcac4f109eefb7342bf51df09,1
session.first:true,1.2bdfa04d83fbcb870ec460cbab72ac08,1
session.first:true,1.2e27a951e74f6d91cd38c58a1f789a18,1
session.first:true,1.32341f4f35a06b34271612baf057d07a,1
session.first:true,1.37d3f6aa3a68b0c6d87ce0b328533588,1
session.first:true,1.3d6bab6da6fc20d7e9cdfb8573952bef,1
session.first:true,1.42491bf845dc7aa022f4ec1c189f83e1,1
session.first:true,1.4cb9b5ead063441af253254d3ec88dff,1
session.first:true,1.561aae7dc83a7cf3a97f7e6d9e465b98,1
session.first:true,1.63c44fb8acaadeb3805cb4ae5f6ff17e,1
session.first:true,1.6934e0acb29d3842a3e5bbd6121033a5,1
session.first:true,1.746493800694e2e8ae3d2a8d4582613d,1
session.first:true,1.77d94be5a2d423a673c94591c511a72c,1
session.first:true,1.7ad0b6e92fee3f422ee312d81974a8aa,1
session.first:true,1.7e3f34bcf127f30db05f63da39f45b1e,1
session.first:true,1.8aaab0009c0c07d18a068e51ccb313f7,1
session.first:true,1.8bcbee03f5ef57379fc362fd8138e85c,1
session.first:true,1.02062111a82752e4724db639963c5f04,1
session.first:true,1.0c88e16c491ee3a6df7c94836c88aa05,1
session.first:true,1.0ecc454d5d81652567c403426631b7f6,1
session.first:true,1.139c78b702a1d5bc70096a808950f1d6,1
session.first:true,1.19c9369d641d8a851b9874fa9292c573,1
session.first:true,1.23bf8c7b38b394ceaec58c16b25ccfbc,1
session.first:true,1.35e9bf6d2fd28afb771b0d889c457824,1
session.first:true,1.4a6056ebc8c09b82dbaad06cfa08889b,1
session.first:true,1.4e390df1a62f50e0adeb33b02647d05f,1
session.first:true,1.542ef83217d58c469f006aec1e12a255,1
session.first:true,1.5fcba2822121de27d7855c9cb3d7426b,1
session.first:true,1.76db4f47596edb50671ff414e582612e,1
session.first:true,1.8491a91c21c9dc8ed15cd334a5c57623,1
session.first:true,1.8804d5c73f49c438b78c7ec8284fc991,1
session.first:true,1.9963129453b99b0cad9f4f53289d6b2c,1
session.first:true,1.017952e6442f72cebc17cc9af8e41111,1
session.first:true,1.03a463f198e36173bcbaa03e66a60548,1
session.first:true,1.03ca61cb0a3cabb440449e673f8d4d48,1
session.first:true,1.060a8f17ef261931e445a0674ddb55f0,1
session.first:true,1.06d9274216d4facf6bc67268eaf4e749,1
session.first:true,1.078b473a19d4cce44b60e92b6a2e51c2,1
session.first:true,1.0a4e3e3634322dd7ac20b35025f213bc,1
session.first:true,1.0b826f52f76dc80d893f6a828f48537a,1
session.first:true,1.0e0b92a3aba6454544b5959902c39dcc,1
session.first:true,1.12d2d8847069d0b75f8f6d684eadc904,1
session.first:true,1.156f5372d25e06e8b7da0b0a0da37f29,1
session.first:true,1.176835b11ea41899d0f11be2c1e486c4,1
session.first:true,1.1bcf45613d5a4c1c02dd00ce6cf6c39a,1
session.first:true,1.1d0baaf3e95a3dc8efdeda930b1fb05b,1
session.first:true,1.1d943e8edfdfc4673acee68aa12cac16,1
session.first:true,1.1f43554907cb2942335ab16b9003d09a,1
session.first:true,1.214ebfbbe68bf712ada47b2895bc7762,1
session.first:true,1.2768e0c2ed5064613b6c49dd43393a49,1
session.first:true,1.2fba93080ef5b0b6636ecb660dbaabed,1
session.first:true,1.318b282a134de6dd4c246d5af1be1b5b,1
session.first:true,1.3a8f443bd8388fbf4c8b64a9f67018bd,1
session.first:true,1.4078fa80953fc0ef1efe347fc95505d9,1
session.first:true,1.4144cc0850efc1a93f635b261d21f5cc,1
session.first:true,1.41ad86e6385c81b01054b6f057540715,1
session.first:true,1.4355a8e1de5fa52dee07d00685cd9874,1
session.first:true,1.4b0c1d5ab4594be0a4cf84fa8973833a,1
session.first:true,1.50797fc738b4003b0f43a59e1e9aacae,1
session.first:true,1.55402451899b1bda4278cc1caf88d0f0,1
session.first:true,1.5820e05c553ed721dae7170f0cc0fe41,1
session.first:true,1.5b5dbc082456e50b819f864d230453bf,1
session.first:true,1.5cfefc5c9111a11f33e82d039bf7c85d,1
session.first:true,1.5d5839a304faee905da14858cbb2a873,1
session.first:true,1.5d8cd1f92b061be1edfd9fbc6cfbc29a,1
session.first:true,1.5e3ba4779e2a04d7645d86f3f002b324,1
session.first:true,1.5e7ebe373ad05cc2ab773b013e760ac1,1
session.first:true,1.5ef1d93b10c8241a8a6e6045b5098ebb,1
session.first:true,1.665739c12c9c28a2bf18ca5af808d1ee,1
session.first:true,1.67182e510e3c0a6e16d7a634a76fd468,1
session.first:true,1.688c6ea0cf169238d973544e1fcf8327,1
session.first:true,1.722f0b109d29ea258d41dfe083f484f0,1
session.first:true,1.749d59d65bfbdb8dc180d1f6f1de4c18,1
session.first:true,1.79f7d23298b717b30ccba852daf4db2e,1
session.first:true,1.7d1897fb24dc11f561f3ce421d887a82,1
session.first:true,1.86c484576fcee7bb5a87fca0a985777b,1
session.first:true,1.8bf7f23acbd319ba15d043df8b0bacc5,1
session.first:true,1.8c3df714beb35828971887b7a80a51ab,1
session.first:true,1.8dd4682f9d2e03213824ab0bcdfcd4cf,1
session.first:true,1.918c9ec7cc19c1f303321255ecb3a6e2,1
session.first:true,1.91cb9db64818d005d61f27bddae73219,1
session.first:true,1.93441b43039f6392139624a80604297e,1
session.first:true,1.96cc73bc7f534d964a970b749e10aa58,1
session.first:true,1.993a6bc8323d7c8f718602bd0bf8785c,1
session.first:true,1.99ebed013e8c4a0b5382a7702eecbf62,1
session.first:true,1.008760e5ce4f9ce578cc491d639b0d7f,1
session.first:true,1.02426bde698fa5ffafa203bb9a95ad3e,1
session.first:true,1.034e2f934265a867b1c96b25cf71a2c9,1
session.first:true,1.03b98401aa99b889397ba60f16b945af,1
session.first:true,1.05562dfe15eabf0b566360595d57f523,1
session.first:true,1.05d7bafd3a7f222e1c03b3c8e9a4817c,1
session.first:true,1.09f805b8986ace70827254cd0b875887,1
session.first:true,1.0a99aec1b0331fcdc6fa83d477610c70,1
session.first:true,1.0b61f46ac813421528485413bce11ebd,1
session.first:true,1.0c9f734d0982842f55e71b7b99af5f3b,1
session.first:true,1.0f6ea49a046336009a883ce8d565ca24,1
session.first:true,1.106664a5ef623f9f4cf9eae97ded1367,1
session.first:true,1.11113b7b9af87cac17067ac8df3d25dd,1
session.first:true,1.1212a2a972570a6807ebc0951391f54c,1
session.first:true,1.13c51af2ff01448ef6ab59ffa5f9c3e5,1
session.first:true,1.144d78043908f481241d0f4050530762,1
session.first:true,1.14b8fb3784d3cce9064dab7b8e0f2bc4,1
session.first:true,1.1510906387cb339545568cb3ff16f7b8,1
session.first:true,1.15206561a4997e3e150123e77acf994d,1
session.first:true,1.15ff8c2379d7458328cd42ba22a39904,1
session.first:true,1.18fa005dadc93ef3575e56ece368a880,1
session.first:true,1.1a6a803cfe17165ca2694373b3ca3b51,1
session.first:true,1.1b2fd056e9aa021510805565716fff08,1
session.first:true,1.1d05442fa748ff5f86a911073675be96,1
session.first:true,1.1e541988070d9c5939fcf55b8ee81a6c,1
session.first:true,1.1f611ea03a0c65753e83389fe5819ed2,1
session.first:true,1.209e2ff3b2b757d4e2aa558830c80538,1
session.first:true,1.214e79acae3a59d934c4b78aacac646b,1
session.first:true,1.23d18066c52149028fdba103e0def0a6,1
session.first:true,1.24235c8fada90639fc430634d1608371,1
session.first:true,1.2457520fb14919220b22b24e46121f5e,1
session.first:true,1.250a6f8cab927005eb253556958b92b2,1
session.first:true,1.274d566fbd131f8cc0bd4a5ef8783cfd,1
session.first:true,1.27830aeaea8baf2caf09de02ba46c69e,1
session.first:true,1.27860220380f9dff0882a98c58d569ed,1
session.first:true,1.29073abb23e2d49defe96648db5b3b2c,1
session.first:true,1.2ead0c3eedfdab045fe484910646f9bd,1
session.first:true,1.2fb9d0820d5462d2e1d653df04972789,1
session.first:true,1.2fbb84658d92a78bcb0642522ea90fc8,1
session.first:true,1.31643456d1c1b43a4e8f51abf793e895,1
session.first:true,1.35c38e60a8eae51812bbb6af20cba0ec,1
session.first:true,1.37573d5fc25ab25e459ae22111978ce1,1
session.first:true,1.37efd1b7a30fb461b4ef2bfdb18349a0,1
session.first:true,1.39859c18af38a9eb3bfc2357dca1e159,1
session.first:true,1.3b462fd6ab89590ec7855331d04b38e3,1
session.first:true,1.3d09498dfa069563dca9aceb8ea10f7e,1
session.first:true,1.403e67d340297e1b2ecb6a6894b6bcb4,1
session.first:true,1.4048f07264f2b0d71f82bb84f5363d74,1
session.first:true,1.42554a628df87ab7c05ff8df0aad57db,1
session.first:true,1.42d480eb0a8d92ec6f1d808459f91d28,1
session.first:true,1.43353e6b6a46cb444904c39ba13933d8,1
session.first:true,1.44b8d6e5d6b555a178cfc6ed1f115a4c,1
session.first:true,1.4518f10ec705d51adadc4c8e96f196fe,1
session.first:true,1.4704142ef4ca4a93e5cb64ddca0df839,1
session.first:true,1.4873ee26d93e8fc72db9e69f892c49dc,1
session.first:true,1.4a61830aa2b8cef943625b5dd9f34f50,1
session.first:true,1.4a6c0134a96f7658ca589261ce11a6ea,1
session.first:true,1.4b1fad94f8370cf1dc34fe618a806d69,1
