filters,Top 50000000 fingerprint.raw,Count
session.first:true,1.025fadf9661c69e5c94a69486008dade,1
session.first:true,1.0263608e193d77c764befa8f3591095f,1
session.first:true,1.0263e0f01160047fda7ebec5f2b1a879,1
session.first:true,1.0265aba5e13c5d7ebc70a54e246e11a0,1
session.first:true,1.0266287c8c13bb79b438ae8a4ad776e1,1
session.first:true,1.027bb2d140e88705a8fcc32e26f1a671,1
session.first:true,1.0280e11a965b252e21673060e79f85f1,1
session.first:true,1.028a8483d73a027e704174e1d4e40dd4,1
session.first:true,1.028e56599e7feda7735e7b9d54f5088b,1
session.first:true,1.0290bbda0bd746832b8e951458a9fbd1,1
session.first:true,1.0290eb6852a92cbcfb20ba47cd1bf9fb,1
session.first:true,1.029451e48550b1534e909190555a766e,1
session.first:true,1.029656d29a562b983e85e0a4a9946399,1
session.first:true,1.0298ff533ae04bc3461267c941b5c0fd,1
session.first:true,1.02a1c7ae7e5436a2ba715b6cd00b0f68,1
session.first:true,1.02a819aabe5dd2f7d993a3fdeac350fa,1
session.first:true,1.02b46c5340ba8e88cd7d90fd353fb82e,1
session.first:true,1.02b7922ad2e5cdab862f3b06dafe83e1,1
session.first:true,1.02d05e166cb0c89221a0c7e6b78d9f59,1
session.first:true,1.02db73f866b159177b6a5206e14c54ea,1
session.first:true,1.02e70dedbc77a96a0e0efa9130f3044f,1
session.first:true,1.02ec19a125b0785bc6ac03ae25a5f091,1
session.first:true,1.02f1df5369dc23df7a1f099ada7b1094,1
session.first:true,1.02f404db9fd1edcdccb1c3fc8540705e,1
session.first:true,1.02f725e472d1af1d8adf09783a8ae388,1
session.first:true,1.03022a30d3e1fbbc4ebbbebf1a96b1c1,1
session.first:true,1.030d44cef6c26b4b90308a1c5a2c7293,1
session.first:true,1.0316bad3fedfb7e8c3c71f97ea0002e8,1
session.first:true,1.031e634e9272ff20fa3af1fc74591381,1
session.first:true,1.0328fa9430fc51b6731f75315292e8d9,1
session.first:true,1.032c0b609110bd7423d0c1e6e8889f02,1
session.first:true,1.0345383366dd94fde9b591d13204d3c4,1
session.first:true,1.0350145875e73772a41b2c70af5fd614,1
session.first:true,1.03530a6483656ff039c71b5f64da5c62,1
session.first:true,1.03625cb7a44ee64801f60c57efe2e783,1
session.first:true,1.0366e242508da52956a907fa9484b352,1
session.first:true,1.03705dc30d86245bc787f6415fe500c4,1
session.first:true,1.038a17013dee0728cb6b285da4c1e399,1
session.first:true,1.0392aecf35c6945e32ece1c39f545b94,1
session.first:true,1.0393a5245978a83da925f7ce2cc744cc,1
session.first:true,1.03971ae8065fff0dfcbfa769084ed0df,1
session.first:true,1.039778d95dff5322dad54af9d60da9f9,1
session.first:true,1.0397cede42891dd78614fe0c724855f7,1
session.first:true,1.039b32eb2fdc422f9c3faabc680c49a1,1
session.first:true,1.039e024b1e005fae5791630e4bd6c9b8,1
session.first:true,1.03a344aa4fa8624bdf74608433274dfd,1
session.first:true,1.03abf3cf05931148f7237d0901de4f42,1
session.first:true,1.03b9c2bf5fca15d122a5ca00ed1c785c,1
session.first:true,1.03c8236b64e464ae80dcb3f12da47ab1,1
session.first:true,1.03c971bb463bf1a78d365312c48ca97a,1
session.first:true,1.03d06d6065066a6fe295da3a8a5e299b,1
session.first:true,1.03d2e27c5e083a5eb3bc2331261e6ad2,1
session.first:true,1.03d687c90663cf91467822710703e2a7,1
session.first:true,1.03e77de2827f1c65ab263dd4ea34fc93,1
session.first:true,1.03f668a50e681600e0eddff724f7503c,1
session.first:true,1.03fc1cd3041554c25562cff33bec4446,1
session.first:true,1.040bfd1e4e6c8d09ee9095148380bb3a,1
session.first:true,1.040c3013bd6f5c01f3fc6daa1d9ad0f0,1
session.first:true,1.041213cd743e2bda63801e6c6ebccb64,1
session.first:true,1.04217ca193571441f5670e319ccc8ca5,1
session.first:true,1.04241a800ece1118dd0a04f6f814164a,1
session.first:true,1.0443da9cc24c4b5e74da654ae18f6846,1
session.first:true,1.0449e55f70f45814fde05451b72c5100,1
session.first:true,1.044d8efdb6d6ee89d12a9b3a1fd41472,1
session.first:true,1.044f16f8307f155b550f13a3ce245045,1
session.first:true,1.0453e5d35d629b4881f58efbea85f309,1
session.first:true,1.045675f410179c3d7a7b72ad969401b5,1
session.first:true,1.0467e352b93f4dbd370abccef98329e2,1
session.first:true,1.04689519e38801b90a27a2039020175f,1
session.first:true,1.046e787dd3044397f2fc469851059535,1
session.first:true,1.046f7977046dabb70954b53a45206187,1
session.first:true,1.04714739da0d8d68a9c90ae0410805dd,1
session.first:true,1.04779ff53387b92d25a926f2fd148ddb,1
session.first:true,1.04796767711c8db5b91d97f2e19eff35,1
session.first:true,1.047b17f52bffb4488b31bf77ffa1a2c3,1
session.first:true,1.047fb34e20051d4496b60dcfba819346,1
session.first:true,1.04800ad038cf0ae36bdf543d411c1c42,1
session.first:true,1.04856f998c138667f10cf6edd92e9d3c,1
session.first:true,1.0485b5c0103c88494947bcd75c0d53c4,1
session.first:true,1.048d7c7a8ddcce318678f36d652ff3ee,1
session.first:true,1.048f8e6f5273678a256fc9474ec7d437,1
session.first:true,1.0492d3357c8e5cb63a0200372f9b4b79,1
session.first:true,1.04a10e347b07655aa971cbbe2c786195,1
session.first:true,1.04a5a5074f389ceb0e78af32ef4da258,1
session.first:true,1.04b0816d612d9795638e09e29d808d0b,1
session.first:true,1.04b8590bc163ee85cff102fa5907a33d,1
session.first:true,1.04b8bf9eb95e8e46d829faa866853ad8,1
session.first:true,1.04b98127afdd0c7e4c089b8cf576909f,1
session.first:true,1.04bc39d823e24b641b8a26f727520a9e,1
session.first:true,1.04bde83153387cb4a3229fea39e21c9c,1
session.first:true,1.04c457fa58eeb0ffe425374c96f97430,1
session.first:true,1.04ca707787e6550bc88f30f3a0173daa,1
session.first:true,1.04d01bca82adf0ac833b2e30bdb87325,1
session.first:true,1.04d64d352caa511747c96e296d42742c,1
session.first:true,1.04d818435d82220c8a5d3c659cfffa15,1
session.first:true,1.04da5b7125b76b3b8391dadb13197265,1
session.first:true,1.04dc4f2e291367cfbde52b95a58ca14d,1
session.first:true,1.04e16bad6d93c659f2e355d9245f68d7,1
session.first:true,1.04eaaa94142a740d7b682b0f58e84e93,1
session.first:true,1.04ef62c232d724fde31c142d54243424,1
session.first:true,1.04f3cd9a3de7cd57c5b1384079082d25,1
session.first:true,1.04f8147186b73ca8fed977bb17fad7f3,1
session.first:true,1.04fa697a370397a61f66d0126cd18ae9,1
session.first:true,1.05024aaa8fe251b4c0f6a8b4a615f585,1
session.first:true,1.0504509c3575678759be4d320026e163,1
session.first:true,1.0513e1fc5fa21304dcb316f582406345,1
session.first:true,1.052377c03cf164ea9005c4528eb7bf89,1
session.first:true,1.052c307c18ad8ee1c5c6f8fcc815f153,1
session.first:true,1.053626ec0f2b81fb618738a6dc07ab69,1
session.first:true,1.053ced24d43ae82ad64416039d768658,1
session.first:true,1.05441f74e8821d2d0a4abcc8ae9e9ea5,1
session.first:true,1.0549ea725d213b2b436baee389fef372,1
session.first:true,1.0569a97ed97622e937d39d07a8f2b614,1
session.first:true,1.05766e8e02c271bf7d1927da6d2a77cf,1
session.first:true,1.05774b06a6d9e0248d0ba24a748825db,1
session.first:true,1.05816d6814ff4664f2f5fcf414e25dd8,1
session.first:true,1.0583bc1376a7a9c7d1f4c62b27745373,1
session.first:true,1.0594c0db26cce998d88517b802076d5d,1
session.first:true,1.05993f05eb8ed3e264ddf4c6c6518a2a,1
session.first:true,1.059f91e691d06f2d114bc80a0b250811,1
session.first:true,1.059fb2b04675824e4c3d569ac88c307c,1
session.first:true,1.05a8cd99c81e91ff5150fab1271e2d0c,1
session.first:true,1.05ad8d9b609a06975a899629bd112c8d,1
session.first:true,1.05b02733492574b032e12743c41e7ac1,1
session.first:true,1.05b6f30899ab4fdea63afa4f14a73940,1
session.first:true,1.05b9e3e3be9552f8e0a4dc826ac458be,1
session.first:true,1.05bbaae5f637fa987e2c0141fa2bbc01,1
session.first:true,1.05d1dcddffa8fcf9986ab7c3b0185aa1,1
session.first:true,1.05d5fd78df7210dbf6da49132a9b32e3,1
session.first:true,1.05d6e53432ca062cbba946419dc46ff9,1
session.first:true,1.05e3f2e5533f40b9c081dc443c49e97d,1
session.first:true,1.05f0c1a016951173fb28198523ab08e8,1
session.first:true,1.05f206214c96e6046b0b4222e846c094,1
session.first:true,1.05f3fdd438f787b2990a43a2b810316e,1
session.first:true,1.05f8739a756588ded609e3d8569b6997,1
session.first:true,1.05f9e85b2df34e7b510ce1aef174e407,1
session.first:true,1.0619799a1d75be577945a2db1fd55db5,1
session.first:true,1.061b6e86ece2708556c1f123ca861023,1
session.first:true,1.064a13ccd1409f1fa65053b7c5695d0c,1
session.first:true,1.064a155e2ad10abb9cc26b238172e33a,1
session.first:true,1.064dc1265be50117111aae7aa4912eee,1
session.first:true,1.0654376976c98d96ce9d02d23a960db9,1
session.first:true,1.06558c8b98d95ad8b6154e25456baab4,1
session.first:true,1.06641142e1d93df324a0b5e98f4e944a,1
session.first:true,1.067ecb9ced5ee402c5126808b0b449d7,1
session.first:true,1.068e79b4407bcd7cc9f864a2c4309d75,1
session.first:true,1.0697cc2a3645c862e2cb39c6d5c740b8,1
session.first:true,1.069db11f6ee2535dd2fcdcd569e1b9cd,1
session.first:true,1.06a15a9aebe072b3b55e439be01aa169,1
session.first:true,1.06a7ce739ad88fa23778969ba2f0c9ba,1
session.first:true,1.06aa4aa81da5b6781bd35443a577ccc2,1
session.first:true,1.06ab1cb700d57264f2e2a92862335964,1
session.first:true,1.06aeab2b8c95e9dfe8a58cbe5e62c73b,1
session.first:true,1.06c2d3628ed2fbbb6903119ba1adb0da,1
session.first:true,1.06cb3eeb9b494439aa2713309f1c7d8b,1
session.first:true,1.06d7bc5beda82305d77a52e4f57d5d2a,1
session.first:true,1.06e5f567062c3880807cfa7eb2837aec,1
session.first:true,1.06e9f376649d331f8d8a47305438b7e5,1
session.first:true,1.06ed72e4b5d2e2bf8c7444f0bd251971,1
session.first:true,1.06f673386c7900182b996aad886f1154,1
session.first:true,1.0702eb58115a2f742c14cb1bc3690c3a,1
session.first:true,1.07075800d1d4990b9514397a1b92a166,1
session.first:true,1.070cc52297b2b6523b47285716a00292,1
session.first:true,1.070ce459937cc00bb48fce480b75239a,1
session.first:true,1.070e12797ab8e80bc11ea04747e9c43a,1
session.first:true,1.071bdc554310d3a689810355785a1c93,1
session.first:true,1.071e7af710903474e44ba05535b78db6,1
session.first:true,1.07247d4a11a4fcdcddd797ae4de7a9e3,1
session.first:true,1.072a885fabe35348f1595d4db927325a,1
session.first:true,1.0730e83bac43cff8622214742bbec5ab,1
