filters,Top 50000000 fingerprint.raw,Unique count of fingerprint.raw
session.first:false,1.50a2d1c7761f35f26bfb6e24b73ac8c4,1
session.first:false,1.0bec39caaa393b0f871d14267b332fb8,1
session.first:false,1.fe374ffd5d17c50d57adac07296d7a0d,1
session.first:false,1.abbaf592461a704af8522e66c3c05cdd,1
session.first:false,1.19afe230b82520a5f38dc825477fa451,1
session.first:false,1.2f4fb4d5ec1c22dfbf76eb089e3b990c,1
session.first:false,1.a17c8370d7b8b7e3a337af2c3935540d,1
session.first:false,1.4f1d4c4e1efd2855bd2771e9069017a4,1
session.first:false,1.d59bc26c16b90e1b5ee591560fa0113d,1
session.first:false,1.71c779225e7ba6da26647bd81c686303,1
session.first:false,1.e8e9614680b5b86dab9c890845d60e92,1
session.first:false,1.ce7aaa7675654eee992e3fab69c05ae5,1
session.first:false,1.a28c6eacd2955ab8cb78263c7e4cbe5c,1
session.first:false,1.4e468be4a16e46c3b8ac294badbb9a93,1
session.first:false,1.a9106e648c8f5879f8320a6e1319dc54,1
session.first:false,1.2449a3c0d389f8ebd9c0353dbc0482e9,1
session.first:false,1.673022473085327caa6550c68c5a43e7,1
session.first:false,1.6ed8b7fe2edb03ae17d72f850e66a8ca,1
session.first:false,1.f8edf1180dd6e968ca42ae1173487074,1
session.first:false,1.bf4e0dd6ff59e699a57ec49e86c8f8ca,1
session.first:false,1.472c8b20eb619ed773a1f6774253d1f7,1
session.first:false,1.f16f6fa36c98fb1bf6faa51017852fa1,1
session.first:false,1.058de552939f8fb7d0219c7d5eab6b49,1
session.first:false,1.5f62cc038b6d8d2451844adcda9b1742,1
session.first:false,1.1736f363bcc8da4649112abd11351bd5,1
session.first:false,1.22806dd1dc0ea9a462189eec122b4eab,1
session.first:false,1.44dcd69ea502faee4e31b3f3f04f331e,1
session.first:false,1.50a2134f41c96162ed04a98d14f3b837,1
session.first:false,1.2682bf26b588b2cfe334d9a39395e022,1
session.first:false,1.3cbc4af2ebbb8cd802ba290101755731,1
session.first:false,1.dc3601d168b6b5704c85ca1b45b04318,1
session.first:false,1.acf11ecb7091b0e0424230d23ff46346,1
session.first:false,1.527395d948072bc5918bac6d2e213fa0,1
session.first:false,1.7d258025519261371929e614ed1b6e4f,1
session.first:false,1.cab27075548fd0ada9e0729e709e0a21,1
session.first:false,1.a7c4b2f24e0be6aea0218e573610eafd,1
