filters,Top 50000000 fingerprint.raw,Unique count of fingerprint.raw
session.first:true,1.06f4ecaa8bcb2d70ad6afcd158401a44,1
session.first:true,1.4776d53c05aa5c8eb1f625c261efeb60,1
session.first:true,1.49e16fc6ca5ca2a985fd14faf0ed7270,1
session.first:true,1.e00d7cab3178ad6137ce7e8cdfa59876,1
session.first:true,1.5d4102b70687dcd874d51c73df93f44e,1
session.first:true,1.bdcc840c6c1697fe486062a7f04f60db,1
session.first:true,1.84fdfb52b7d84055aac1c1f69053b896,1
session.first:true,1.e1caffcd09f4ad5a828414b88174eb70,1
session.first:true,1.cc8809ab4506f69d0b6b496ae2d17175,1
session.first:true,1.67a0e2e0235098d561dad10280b28372,1
session.first:true,1.1f94155a8e48c6e456741363a7ac1c82,1
session.first:true,1.c263b54386d285480801a77b3aa3c6ce,1
session.first:true,1.bf4b68a374c3ffad6977e8344099957f,1
session.first:true,1.bd380524be3f4e60a8531592be830f3c,1
session.first:true,1.0d362742d0c3b3573333536370698b68,1
session.first:true,1.f8b35c4984fd8174fc3e472244778972,1
session.first:true,1.165eee330129aec5eec983d8579fb801,1
session.first:true,1.e9b3e1c4a08c6c54278fc2c8009493d6,1
session.first:true,1.2055a3d2d59cd932389b83ada2e8b3ca,1
session.first:true,1.42a71cf9563549bda0f8b7fba7abcde0,1
session.first:true,1.1ccbc895071e1c4bc6bf2da6b5c4f2a6,1
session.first:true,1.9614ce3ba1bddd5c16996a16901da8b2,1
session.first:true,1.7984a10ac1fc2cb9d8693650f03babac,1
session.first:true,1.9865fef18d0f71b2bca7cd65ce7c6843,1
session.first:true,1.4f7eb2755dedf58637e9bb22b15151fd,1
session.first:true,1.a51cfc960706927413f85a2e9160dbd1,1
session.first:true,1.d5278033b3f4b670047dc508c9707ad3,1
session.first:true,1.af2281a6307508f6997a24283118ce4d,1
session.first:true,1.589962386346562f6b9271d05247eccc,1
session.first:true,1.b0a386a3dbbd8d516e31a4320730502b,1
session.first:true,1.8c9fd978067d398609186f3b7a93a915,1
session.first:true,1.6c9b4545f5f53cb8330a57b526bf217a,1
session.first:true,1.b000e50ac7f46c69fb97f2e815b882a8,1
session.first:true,1.577680e661f05533b5be5f0847621e20,1
session.first:true,1.bf68eeabef3cbb10a24048ca2de8b423,1
session.first:true,1.1a6ecc17a81695e536e8de894627c3e7,1
session.first:true,1.c24d4b5c1a6ae122862fe77ba9787256,1
session.first:true,1.b1304e3ddd851ca0530642ed9da35f44,1
session.first:true,1.0bec39caaa393b0f871d14267b332fb8,1
session.first:true,1.fb3fffdba06b30abe2f0607fd2b5e25a,1
session.first:true,1.07c6fddc578788999774c6ae9572dbfc,1
session.first:true,1.f8031af05baac187d0b87c5bdd84d992,1
session.first:true,1.76bfe7792c06f98b73bfd7a6f98f989e,1
session.first:true,1.3e31485fe5dd9405b38279742f6427e0,1
session.first:true,1.7504c41dd47aefdbee5d5d6426e068dc,1
session.first:true,1.51bfa6bcdc6b8032270cd427d875b9b1,1
session.first:true,1.4879f55738d0bd478726950bfe457e7e,1
session.first:true,1.a30819cbe99760fdb7919c3915d4c4f4,1
session.first:true,1.0d36afe5d42c39b3b7450a2cb53c5348,1
session.first:true,1.526ac6382e9db0d4f64d170b8ad40dd7,1
session.first:true,1.d53ee7107ea3bf616a18f38adfbf83ae,1
session.first:true,1.32ee2f70ce3375b913267ca9999c8545,1
session.first:true,1.f8edf1180dd6e968ca42ae1173487074,1
session.first:true,1.72b1a06be39ed5978502dc3633cb8371,1
session.first:true,1.66cdeeb4628f9b5e6f94e8a9011feaae,1
session.first:true,1.bfc8b499127f50fa80d0fcb265594409,1
session.first:true,1.7b5bed5fc81262b969b560d28907ff7b,1
session.first:true,1.e556682d2841e15c213dbad297a55527,1
session.first:true,1.1354bb7f3c9c684ef35b6c38617298ae,1
session.first:true,1.58be6c2bb1296913d255340ce905a951,1
session.first:true,1.b3257b1256310b980888c39d180ad645,1
session.first:true,1.314feac221c782c41437b19b4b21f881,1
session.first:true,1.e73de1c95836a9463f95421b1adbc275,1
session.first:true,1.dc3601d168b6b5704c85ca1b45b04318,1
session.first:true,1.b12295bd67d25782bf9682f1d5133f3a,1
session.first:true,1.6631da9fac598417ccc74cd77118c073,1
session.first:true,1.03f22e2916f2d40c073d223e2609d619,1
session.first:true,1.0e03dbe708ad52600b57e6acb89b2c58,1
session.first:true,1.5be202e8e73d6fb27b4560dd64f56cd9,1
session.first:true,1.297bce8e500a0480f511749ec30e40b1,1
session.first:true,1.373f3c63d923ab3c08814740fa1681a3,1
session.first:true,1.061104c2e01d6b1def7b49c00c9caf61,1
session.first:true,1.a7c4b2f24e0be6aea0218e573610eafd,1
session.first:true,1.12ca76839e83b321a6373b6eb1397c3b,1
session.first:true,1.3b6dbe241aabd6398fd721707d19d73a,1
session.first:true,1.57f0a9aeed22560c8f01f7ea1bd66d63,1
session.first:true,1.1b08274b8a83f0dc2c97c83192e619e8,1
session.first:true,1.36a6d086578b5cc36ebcd0c2f82fc585,1
session.first:true,1.158868b32afc160d83b6fc4df445aad8,1
session.first:true,1.06aa2ae5252c75893ae2d81b4502f342,1
session.first:true,1.7f7339cb51435c1312e93cac135056f3,1
session.first:true,1.933ded8ff495923f36085e05184780c9,1
session.first:true,1.9069128c174fdfb6334780cc9141225a,1
session.first:true,1.cd5a8c7f3fb03ab82d57d608a14636b1,1
session.first:true,1.267be676d5a5090d5e3a9786b9fdf2ee,1
session.first:true,1.428b22d4111e77aa1b9e5580968097b2,1
session.first:true,1.90d22c0a1832d23b211e5296f0c592dd,1
session.first:true,1.c0e89ac5c1a9f1c549e1634e7c7e0eaf,1
session.first:true,1.a1ae25fc3347367e09f7532d9796eec9,1
session.first:true,1.118bdfc557f186305b4ebd03312ba3db,1
session.first:true,1.a130d94777cb453a5bb32bb825afd62a,1
