filters,Top 50000000 fingerprint.raw,Count
session.first:false,1.1b061329c2c37994e3156b7b5396b5e2,15
session.first:false,1.2583dc870296b77b4887533d16bd4086,15
session.first:false,1.2f3e2a0861b2f28a511ee97a091a7747,15
session.first:false,1.5995ef229e88dd842dd1d51ec9f18421,15
session.first:false,1.8b7655df18067c50a3141136c0db8df3,15
session.first:false,1.9416d7e05d040c78ed4086919ae27aa0,15
session.first:false,1.9a96881642a0ac067b7ccb8b3f407d91,15
session.first:false,1.cb246381c0acc32e57eb9f08cd94f096,15
session.first:false,1.d410a7e7ce9998eff598903408f5fdb7,15
session.first:false,1.f552a9821a3218f4978ce9e5a9688884,15
session.first:false,1.fe387589cfbddadd3f35d851d550dfef,15
session.first:false,1.02f404db9fd1edcdccb1c3fc8540705e,14
session.first:false,1.031e5779ea344a4a8ade5dd413d55687,14
session.first:false,1.08c2c4e9dfe6243111e07689d7bb8ab0,14
session.first:false,1.1f9b92b8b3a026b21f6a726b39e2cc49,14
session.first:false,1.24f508760a139c186925106d03b5cf2b,14
session.first:false,1.358c9a027439ed5d16c600a3910716e1,14
session.first:false,1.37f613ec0d67623ff40749397ed44afa,14
session.first:false,1.89769698e4ad07046a55ea3813de5dfd,14
session.first:false,1.b124bfd88aefae1783b19513fde90fb8,14
session.first:false,1.b1e9ad2cbecbf431cb0497553f5d25bf,14
session.first:false,1.c7356309dfef665d9661392466c83157,14
session.first:false,1.def55cf49d282a3db5f18e3f88552f15,14
session.first:false,1.fae06797d9518631939c0cafb64d919a,14
session.first:false,1.043d7da17511cac046ec4bc761b72a4f,13
session.first:false,1.449eb3269124bba9f6e387193245efeb,13
session.first:false,1.5829ea8e10ced17e770d8d215977f3b1,13
session.first:false,1.68f31f6a600ac69f5c280622bbdca048,13
session.first:false,1.7272a280e87e5b81038a6e531eaae330,13
session.first:false,1.8b37ac1865b348160635e22ad85e4f01,13
session.first:false,1.8d67ac0530214d2917eac70abc16f3a7,13
session.first:false,1.9509a678b12ff27108e2d92364a11a2d,13
session.first:false,1.9bd4a3192ea91f218aa66ccb1b4818c4,13
